nodo_id,nombre,tipo,distrito,demanda_nivel,latitud,longitud,pedidos_hora,capacidad
20,Cliente #20 (San Juan Lurig),cliente,San Juan Lurig,baja,-12.151884,-76.969994,5,1
21,Intersec. Av. Santa Cruz (San Miguel),interseccion,San Miguel,media,-12.09154,-77.1029,0,0
22,Intersec. Av. 28 de Julio (Pachacamac),interseccion,Pachacamac,baja,-12.226406,-76.87389,0,0
23,Intersec. Av. La Encalada (Surco),interseccion,Surco,alta,-12.132458,-77.001903,0,0
24,Intersec. Av. La Marina (El Agustino),interseccion,El Agustino,baja,-12.027133,-77.012028,0,0
25,Cliente #25 (Magdalena),cliente,Magdalena,media,-12.110792,-77.087294,4,1
26,Bembos (Lince),restaurante,Lince,media,-12.074649,-77.022679,47,25
27,Cliente #27 (Barranco),cliente,Barranco,alta,-12.142406,-77.005821,3,2
28,Hub Rappi San Miguel,hub_rappi,San Miguel,media,-12.085509,-77.097137,126,405
29,Intersec. Av. Larco (La Molina),interseccion,La Molina,media,-12.093148,-76.929568,0,0
30,Intersec. Av. Santa Cruz (Carabayllo),interseccion,Carabayllo,baja,-11.899219,-77.017366,0,0
31,KFC (Los Olivos),restaurante,Los Olivos,baja,-11.980524,-77.066004,31,76
32,Cliente #32 (San Martin Porres),cliente,San Martin Porres,baja,-12.037395,-77.071966,1,2
33,Cliente #33 (Los Olivos),cliente,Los Olivos,baja,-11.975519,-77.065005,4,3
34,Intersec. Av. Brasil (Ate),interseccion,Ate,baja,-12.020541,-76.927825,0,0
35,McDonald's (Comas),restaurante,Comas,baja,-11.960935,-77.067716,17,77
36,Intersec. Av. Salaverry (Lince),interseccion,Lince,media,-12.066958,-77.057416,0,0
37,Intersec. Av. Petit Thouars (Jesus Maria),interseccion,Jesus Maria,media,-12.087755,-77.062672,0,0
38,Cliente #38 (Pachacamac),cliente,Pachacamac,baja,-12.249469,-76.861701,3,1
39,Cliente #39 (Miraflores),cliente,Miraflores,muy_alta,-12.136104,-77.040205,5,2
40,Cliente #40 (San Juan Lurig),cliente,San Juan Lurig,baja,-12.154692,-76.967535,5,1
41,Cliente #41 (Pachacamac),cliente,Pachacamac,baja,-12.237258,-76.860711,1,2
42,Intersec. Av. Petit Thouars (Lima Cercado),interseccion,Lima Cercado,media,-12.038972,-77.029312,0,0
43,Intersec. Av. Petit Thouars (Barranco),interseccion,Barranco,alta,-12.135563,-77.000497,0,0
44,Cliente #44 (Miraflores),cliente,Miraflores,muy_alta,-12.11243,-77.007084,1,1
45,Hub Rappi San Isidro,hub_rappi,San Isidro,muy_alta,-12.114694,-77.026,273,210
46,Cliente #46 (Surco),cliente,Surco,alta,-12.130887,-76.995856,5,2
47,Hub Rappi Barranco,hub_rappi,Barranco,alta,-12.153844,-77.030271,344,496
48,Cliente #48 (Independencia),cliente,Independencia,baja,-11.98553,-77.059773,4,3
49,Cliente #49 (Lince),cliente,Lince,media,-12.07905,-77.026619,4,1
50,Hub Rappi Surco,hub_rappi,Surco,alta,-12.158757,-77.009604,163,490
51,Intersec. Av. Benavides (Surco),interseccion,Surco,alta,-12.152983,-77.015332,0,0
52,Cliente #52 (Los Olivos),cliente,Los Olivos,baja,-11.973973,-77.065281,4,3
53,Cliente #53 (Magdalena),cliente,Magdalena,media,-12.068677,-77.085435,2,2
54,Intersec. Av. Benavides (San Juan Lurig),interseccion,San Juan Lurig,baja,-12.148465,-76.960166,0,0
55,Intersec. Av. 28 de Julio (San Juan Lurig),interseccion,San Juan Lurig,baja,-12.17901,-76.973086,0,0
56,Intersec. Av. Larco (Carabayllo),interseccion,Carabayllo,baja,-11.86017,-77.022858,0,0
57,Cliente #57 (Carabayllo),cliente,Carabayllo,baja,-11.892911,-77.038702,1,1
58,Cliente #58 (Lurin),cliente,Lurin,baja,-12.291256,-76.866645,5,1
59,Cliente #59 (Villa Maria),cliente,Villa Maria,baja,-12.153289,-76.935056,3,3
60,Cliente #60 (Lima Cercado),cliente,Lima Cercado,media,-12.063649,-77.041841,5,1
61,Cliente #61 (Rimac),cliente,Rimac,baja,-12.042728,-77.024039,4,2
62,Intersec. Av. Arequipa (Brena),interseccion,Brena,media,-12.07432,-77.066422,0,0
63,Cliente #63 (Pueblo Libre),cliente,Pueblo Libre,media,-12.062653,-77.049445,4,2
64,Intersec. Av. Salaverry (Santa Anita),interseccion,Santa Anita,baja,-12.06624,-76.98168,0,0
65,Cliente #65 (Lima Cercado),cliente,Lima Cercado,media,-12.031913,-77.044589,1,3
66,Cliente #66 (Lince),cliente,Lince,media,-12.067839,-77.024513,3,2
67,Intersec. Av. Benavides (Callao),interseccion,Callao,baja,-12.06212,-77.128639,0,0
68,Cliente #68 (Barranco),cliente,Barranco,alta,-12.139347,-77.013329,3,3
69,Cliente #69 (Lima Cercado),cliente,Lima Cercado,media,-12.041716,-77.048118,3,1
70,Intersec. Av. Javier Prado (Magdalena),interseccion,Magdalena,media,-12.067659,-77.071799,0,0
71,Intersec. Av. La Encalada (Puente Piedra),interseccion,Puente Piedra,baja,-11.875115,-77.067741,0,0
72,Cliente #72 (Brena),cliente,Brena,media,-12.059382,-77.062962,1,1
73,Intersec. Av. Tomas Marsano (San Miguel),interseccion,San Miguel,media,-12.078329,-77.074661,0,0
74,Intersec. Av. Salaverry (Puente Piedra),interseccion,Puente Piedra,baja,-11.870117,-77.074367,0,0
75,Intersec. Av. La Marina (Magdalena),interseccion,Magdalena,media,-12.099625,-77.050592,0,0
76,Hub Rappi Villa Maria,hub_rappi,Villa Maria,baja,-12.17658,-76.957681,153,280
77,Intersec. Av. Angamos (Barranco),interseccion,Barranco,alta,-12.141485,-77.011281,0,0
78,Intersec. Av. La Encalada (Villa El Salvador),interseccion,Villa El Salvador,baja,-12.221474,-76.957987,0,0
79,Cliente #79 (Independencia),cliente,Independencia,baja,-12.010006,-77.071329,4,1
80,Intersec. Av. Benavides (Carabayllo),interseccion,Carabayllo,baja,-11.871327,-77.028928,0,0
81,Intersec. Av. Colonial (Santa Anita),interseccion,Santa Anita,baja,-12.055428,-76.967249,0,0
82,Intersec. Av. Colonial (Independencia),interseccion,Independencia,baja,-12.005454,-77.072015,0,0
83,Intersec. Av. Tomas Marsano (Surco),interseccion,Surco,alta,-12.146136,-77.020101,0,0
84,Cliente #84 (Lurin),cliente,Lurin,baja,-12.286301,-76.871231,1,1
85,Hub Rappi La Molina,hub_rappi,La Molina,media,-12.075546,-76.952346,417,343
86,Cliente #86 (Magdalena),cliente,Magdalena,media,-12.095173,-77.069489,2,3
87,Intersec. Av. Santa Cruz (Barranco),interseccion,Barranco,alta,-12.145219,-77.002801,0,0
88,Cliente #88 (Magdalena),cliente,Magdalena,media,-12.110707,-77.059096,4,2
89,Intersec. Av. 28 de Julio (Santa Anita),interseccion,Santa Anita,baja,-12.036575,-76.97726,0,0
90,Intersec. Av. Petit Thouars (Magdalena),interseccion,Magdalena,media,-12.097596,-77.05795,0,0
91,Hub Rappi Los Olivos,hub_rappi,Los Olivos,baja,-11.993823,-77.051382,161,437
92,Intersec. Av. Aviacion (San Miguel),interseccion,San Miguel,media,-12.079448,-77.085745,0,0
93,Cliente #93 (Callao),cliente,Callao,baja,-12.037658,-77.127833,1,2
94,Cliente #94 (Pueblo Libre),cliente,Pueblo Libre,media,-12.083675,-77.068349,3,1
95,Cliente #95 (Independencia),cliente,Independencia,baja,-11.995959,-77.078192,1,2
96,Hub Rappi Jesus Maria,hub_rappi,Jesus Maria,media,-12.086007,-77.048878,317,477
97,Intersec. Av. El Derby (San Miguel),interseccion,San Miguel,media,-12.071829,-77.073329,0,0
98,Pizza Hut (San Isidro),restaurante,San Isidro,muy_alta,-12.082278,-77.017118,35,45
99,Cliente #99 (Pachacamac),cliente,Pachacamac,baja,-12.210443,-76.869665,5,3
100,Cliente #100 (Surco),cliente,Surco,alta,-12.136048,-77.002131,2,3
101,Cliente #101 (Rimac),cliente,Rimac,baja,-12.029573,-77.016102,3,2
102,Intersec. Av. Larco (Jesus Maria),interseccion,Jesus Maria,media,-12.055766,-77.042386,0,0
103,Cliente #103 (Surco),cliente,Surco,alta,-12.167216,-76.99212,4,1
104,Cliente #104 (Los Olivos),cliente,Los Olivos,baja,-11.977897,-77.081213,4,2
105,Cliente #105 (San Miguel),cliente,San Miguel,media,-12.083148,-77.081971,2,3
106,Intersec. Av. Universitaria (Jesus Maria),interseccion,Jesus Maria,media,-12.092129,-77.05201,0,0
107,Intersec. Av. Primavera (El Agustino),interseccion,El Agustino,baja,-12.044297,-77.009892,0,0
108,Intersec. Av. Tomas Marsano (Jesus Maria),interseccion,Jesus Maria,media,-12.0951,-77.059868,0,0
109,Cliente #109 (Brena),cliente,Brena,media,-12.040629,-77.058607,3,1
110,Cliente #110 (San Martin Porres),cliente,San Martin Porres,baja,-12.03388,-77.078465,3,2
111,Cliente #111 (Ate),cliente,Ate,baja,-12.024157,-76.9074,2,1
112,Intersec. Av. Aviacion (Villa El Salvador),interseccion,Villa El Salvador,baja,-12.223592,-76.940043,0,0
113,Cliente #113 (Carabayllo),cliente,Carabayllo,baja,-11.874905,-77.030242,1,2
114,Intersec. Av. Benavides (La Molina),interseccion,La Molina,media,-12.073931,-76.935021,0,0
115,Intersec. Via Expresa (Rimac),interseccion,Rimac,baja,-12.010659,-77.031721,0,0
116,Intersec. Av. La Marina (Puente Piedra),interseccion,Puente Piedra,baja,-11.859838,-77.097726,0,0
117,Cliente #117 (San Miguel),cliente,San Miguel,media,-12.077078,-77.102767,1,1
118,Intersec. Av. Primavera (Comas),interseccion,Comas,baja,-11.942262,-77.063834,0,0
119,Intersec. Av. Caminos del Inca (Lima Cercado),interseccion,Lima Cercado,media,-12.024888,-77.022214,0,0
120,Cliente #120 (Lince),cliente,Lince,media,-12.083385,-77.024611,5,1
121,Intersec. Via Expresa (Lima Cercado),interseccion,Lima Cercado,media,-12.036026,-77.049402,0,0
122,Intersec. Av. Aviacion (Lince),interseccion,Lince,media,-12.084122,-77.024524,0,0
123,Cliente #123 (Lince),cliente,Lince,media,-12.063455,-77.036106,3,2
124,Intersec. Av. Santa Cruz (Comas),interseccion,Comas,baja,-11.96007,-77.038886,0,0
125,Cliente #125 (San Martin Porres),cliente,San Martin Porres,baja,-12.027484,-77.074016,5,3
126,Domino's (Callao),restaurante,Callao,baja,-12.060543,-77.135731,19,24
127,Intersec. Av. El Derby (Miraflores),interseccion,Miraflores,muy_alta,-12.122002,-77.022668,0,0
128,Cliente #128 (San Juan Lurig),cliente,San Juan Lurig,baja,-12.138706,-76.993072,2,3
129,Cliente #129 (San Isidro),cliente,San Isidro,muy_alta,-12.087174,-77.042727,4,2
130,Intersec. Av. Brasil (Carabayllo),interseccion,Carabayllo,baja,-11.870799,-77.046373,0,0
131,Cliente #131 (Carabayllo),cliente,Carabayllo,baja,-11.89368,-77.025029,1,1
132,Intersec. Av. Caminos del Inca (Ate),interseccion,Ate,baja,-12.043284,-76.91513,0,0
133,Cliente #133 (Pachacamac),cliente,Pachacamac,baja,-12.215862,-76.889019,4,3
134,Intersec. Av. Caminos del Inca (San Martin Porres),interseccion,San Martin Porres,baja,-12.035983,-77.075735,0,0
135,Cliente #135 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.21748,-76.954101,2,2
136,Intersec. Av. Caminos del Inca (Callao),interseccion,Callao,baja,-12.044962,-77.119195,0,0
137,Cliente #137 (San Martin Porres),cliente,San Martin Porres,baja,-12.006391,-77.060095,2,2
138,Cliente #138 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.19461,-76.928642,2,3
139,Intersec. Av. Caminos del Inca (Carabayllo),interseccion,Carabayllo,baja,-11.901325,-77.041352,0,0
140,Intersec. Av. Primavera (Comas),interseccion,Comas,baja,-11.930674,-77.06416,0,0
141,Intersec. Av. Javier Prado (Ate),interseccion,Ate,baja,-12.029758,-76.930143,0,0
142,Intersec. Av. Colonial (Comas),interseccion,Comas,baja,-11.919473,-77.049207,0,0
143,Chili's (San Juan Lurig),restaurante,San Juan Lurig,baja,-12.143625,-76.997967,63,86
144,Intersec. Av. Javier Prado (San Borja),interseccion,San Borja,alta,-12.122044,-76.995443,0,0
145,Intersec. Av. Petit Thouars (San Miguel),interseccion,San Miguel,media,-12.083533,-77.085689,0,0
146,Cliente #146 (San Miguel),cliente,San Miguel,media,-12.083508,-77.07025,1,2
147,Cliente #147 (San Juan Lurig),cliente,San Juan Lurig,baja,-12.180402,-76.994942,2,1
148,Cliente #148 (Brena),cliente,Brena,media,-12.082427,-77.040416,2,3
149,Cliente #149 (Miraflores),cliente,Miraflores,muy_alta,-12.130472,-77.029769,3,3
150,Cliente #150 (El Agustino),cliente,El Agustino,baja,-12.032236,-76.988421,2,1
151,Intersec. Via Expresa (Jesus Maria),interseccion,Jesus Maria,media,-12.068978,-77.039174,0,0
152,Intersec. Av. Javier Prado (Carabayllo),interseccion,Carabayllo,baja,-11.901034,-77.012478,0,0
153,Intersec. Av. El Derby (Surco),interseccion,Surco,alta,-12.129935,-76.993361,0,0
154,Hub Rappi Surco,hub_rappi,Surco,alta,-12.152046,-77.005798,221,265
155,Cliente #155 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.198473,-76.927022,1,2
156,Cliente #156 (Los Olivos),cliente,Los Olivos,baja,-11.981877,-77.05457,4,3
157,Intersec. Av. Salaverry (Pueblo Libre),interseccion,Pueblo Libre,media,-12.071601,-77.053152,0,0
158,Intersec. Av. Larco (Santa Anita),interseccion,Santa Anita,baja,-12.063678,-76.955037,0,0
159,Intersec. Av. Salaverry (Lurin),interseccion,Lurin,baja,-12.278282,-76.862829,0,0
160,Intersec. Av. Santa Cruz (Puente Piedra),interseccion,Puente Piedra,baja,-11.861534,-77.073884,0,0
161,Intersec. Av. Petit Thouars (Santa Anita),interseccion,Santa Anita,baja,-12.044479,-76.945409,0,0
162,Cliente #162 (Lurin),cliente,Lurin,baja,-12.297765,-76.873663,3,2
163,Cliente #163 (Surco),cliente,Surco,alta,-12.152214,-77.009771,5,1
164,Cliente #164 (Lurin),cliente,Lurin,baja,-12.264416,-76.869336,3,2
165,Intersec. Av. Santa Cruz (San Isidro),interseccion,San Isidro,muy_alta,-12.102529,-77.024855,0,0
166,Cliente #166 (Surco),cliente,Surco,alta,-12.149573,-77.00207,1,1
167,Cliente #167 (San Miguel),cliente,San Miguel,media,-12.095718,-77.080201,5,2
168,Hub Rappi San Miguel,hub_rappi,San Miguel,media,-12.05899,-77.096073,461,482
169,Cliente #169 (Surco),cliente,Surco,alta,-12.147347,-76.985476,2,1
170,Cliente #170 (Jesus Maria),cliente,Jesus Maria,media,-12.084881,-77.061915,1,1
171,Cliente #171 (Lima Cercado),cliente,Lima Cercado,media,-12.062451,-77.022138,1,3
172,Cliente #172 (Los Olivos),cliente,Los Olivos,baja,-11.968115,-77.064062,5,1
173,Intersec. Av. Colonial (San Juan Lurig),interseccion,San Juan Lurig,baja,-12.170375,-76.968614,0,0
174,Intersec. Av. Primavera (Ate),interseccion,Ate,baja,-12.038915,-76.925823,0,0
175,Intersec. Av. Brasil (San Martin Porres),interseccion,San Martin Porres,baja,-12.025182,-77.054886,0,0
176,Intersec. Av. Aviacion (San Juan Lurig),interseccion,San Juan Lurig,baja,-12.165769,-76.959645,0,0
177,Intersec. Av. Caminos del Inca (San Martin Porres),interseccion,San Martin Porres,baja,-12.007482,-77.081406,0,0
178,Intersec. Av. Benavides (Carabayllo),interseccion,Carabayllo,baja,-11.872902,-77.050134,0,0
179,Cliente #179 (Puente Piedra),cliente,Puente Piedra,baja,-11.871772,-77.061848,2,2
180,Intersec. Av. 28 de Julio (Villa Maria),interseccion,Villa Maria,baja,-12.163153,-76.949266,0,0
181,Intersec. Av. Brasil (Brena),interseccion,Brena,media,-12.056909,-77.071373,0,0
182,Cliente #182 (Ate),cliente,Ate,baja,-12.023811,-76.930864,3,3
183,Intersec. Av. La Encalada (San Martin Porres),interseccion,San Martin Porres,baja,-12.037641,-77.077789,0,0
184,Intersec. Av. Santa Cruz (Jesus Maria),interseccion,Jesus Maria,media,-12.093106,-77.06007,0,0
185,Hub Rappi Carabayllo,hub_rappi,Carabayllo,baja,-11.893209,-77.025129,290,207
186,Intersec. Av. Benavides (Barranco),interseccion,Barranco,alta,-12.138066,-77.037783,0,0
187,Hub Rappi Miraflores,hub_rappi,Miraflores,muy_alta,-12.122552,-77.04753,204,325
188,Intersec. Av. La Marina (San Miguel),interseccion,San Miguel,media,-12.090739,-77.10328,0,0
189,Intersec. Av. La Encalada (Los Olivos),interseccion,Los Olivos,baja,-11.987412,-77.058251,0,0
190,Intersec. Av. Tomas Marsano (Rimac),interseccion,Rimac,baja,-12.03323,-77.038452,0,0
191,Intersec. Av. Colonial (Lince),interseccion,Lince,media,-12.080828,-77.015091,0,0
192,Intersec. Av. La Marina (Puente Piedra),interseccion,Puente Piedra,baja,-11.873398,-77.097982,0,0
193,Cliente #193 (El Agustino),cliente,El Agustino,baja,-12.022117,-76.994329,3,3
194,Hub Rappi Villa Maria,hub_rappi,Villa Maria,baja,-12.153094,-76.929306,457,386
195,Intersec. Av. Santa Cruz (Barranco),interseccion,Barranco,alta,-12.152294,-77.003644,0,0
196,Intersec. Av. Benavides (Jesus Maria),interseccion,Jesus Maria,media,-12.087582,-77.038221,0,0
197,Intersec. Av. Colonial (San Miguel),interseccion,San Miguel,media,-12.057858,-77.097617,0,0
198,Intersec. Av. Caminos del Inca (Villa Maria),interseccion,Villa Maria,baja,-12.177304,-76.932625,0,0
199,Intersec. Av. Caminos del Inca (Brena),interseccion,Brena,media,-12.05707,-77.073,0,0
200,Intersec. Av. Salaverry (Magdalena),interseccion,Magdalena,media,-12.082613,-77.078042,0,0
201,Cliente #201 (Magdalena),cliente,Magdalena,media,-12.098815,-77.072054,5,1
202,Intersec. Av. Brasil (San Borja),interseccion,San Borja,alta,-12.121649,-76.999974,0,0
203,Intersec. Av. Primavera (Lima Cercado),interseccion,Lima Cercado,media,-12.045637,-77.037793,0,0
204,Cliente #204 (Ate),cliente,Ate,baja,-12.014339,-76.89536,2,2
205,Cliente #205 (Lima Cercado),cliente,Lima Cercado,media,-12.045419,-77.034149,2,2
206,Intersec. Av. 28 de Julio (San Borja),interseccion,San Borja,alta,-12.115842,-77.017165,0,0
207,Intersec. Av. Colonial (San Martin Porres),interseccion,San Martin Porres,baja,-12.003208,-77.058633,0,0
208,Intersec. Av. Javier Prado (Chorrillos),interseccion,Chorrillos,media,-12.184569,-77.009249,0,0
209,Intersec. Av. Santa Cruz (Villa El Salvador),interseccion,Villa El Salvador,baja,-12.203534,-76.955242,0,0
210,TGI Fridays (Chorrillos),restaurante,Chorrillos,media,-12.170823,-77.042921,12,27
211,Cliente #211 (Lima Cercado),cliente,Lima Cercado,media,-12.065809,-77.024562,5,1
212,Hub Rappi San Martin Porres,hub_rappi,San Martin Porres,baja,-12.010081,-77.070323,381,200
213,Intersec. Av. Aviacion (El Agustino),interseccion,El Agustino,baja,-12.031614,-76.991733,0,0
214,Intersec. Av. El Derby (San Miguel),interseccion,San Miguel,media,-12.069838,-77.096219,0,0
215,Cliente #215 (San Martin Porres),cliente,San Martin Porres,baja,-12.001862,-77.08462,1,2
216,Cliente #216 (Puente Piedra),cliente,Puente Piedra,baja,-11.866628,-77.096219,5,2
217,Cliente #217 (Callao),cliente,Callao,baja,-12.054353,-77.115608,3,1
218,Cliente #218 (Jesus Maria),cliente,Jesus Maria,media,-12.067523,-77.028655,3,1
219,Cliente #219 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.198822,-76.937561,3,1
220,Intersec. Av. Primavera (Surco),interseccion,Surco,alta,-12.148456,-77.012432,0,0
221,Intersec. Av. Tomas Marsano (Lurin),interseccion,Lurin,baja,-12.286651,-76.861,0,0
222,Intersec. Av. La Encalada (Villa Maria),interseccion,Villa Maria,baja,-12.159208,-76.951899,0,0
223,Intersec. Av. Tomas Marsano (Callao),interseccion,Callao,baja,-12.072149,-77.118615,0,0
224,Cliente #224 (Independencia),cliente,Independencia,baja,-11.980469,-77.076281,1,1
225,Intersec. Av. Caminos del Inca (San Miguel),interseccion,San Miguel,media,-12.059373,-77.080295,0,0
226,Popeyes (Comas),restaurante,Comas,baja,-11.940893,-77.029174,48,79
227,Cliente #227 (Pachacamac),cliente,Pachacamac,baja,-12.22073,-76.88146,2,1
228,Intersec. Av. Universitaria (Comas),interseccion,Comas,baja,-11.936274,-77.050842,0,0
229,Intersec. Av. La Encalada (Comas),interseccion,Comas,baja,-11.94187,-77.049964,0,0
230,Cliente #230 (Comas),cliente,Comas,baja,-11.918258,-77.053296,1,3
231,Intersec. Av. Aviacion (Santa Anita),interseccion,Santa Anita,baja,-12.048833,-76.954742,0,0
232,Cliente #232 (San Isidro),cliente,San Isidro,muy_alta,-12.09761,-77.029775,1,1
233,Intersec. Av. Salaverry (San Juan Lurig),interseccion,San Juan Lurig,baja,-12.178849,-76.996144,0,0
234,Cliente #234 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.206625,-76.951875,3,3
235,Intersec. Av. Primavera (Barranco),interseccion,Barranco,alta,-12.139386,-77.018951,0,0
236,Hub Rappi Villa El Salvador,hub_rappi,Villa El Salvador,baja,-12.205784,-76.948441,361,358
237,Intersec. Av. Angamos (Lurin),interseccion,Lurin,baja,-12.26254,-76.885297,0,0
238,Intersec. Av. La Marina (Rimac),interseccion,Rimac,baja,-12.008067,-77.024486,0,0
239,Cliente #239 (Puente Piedra),cliente,Puente Piedra,baja,-11.889984,-77.079918,3,1
240,Cliente #240 (La Molina),cliente,La Molina,media,-12.080571,-76.958775,1,3
241,Cliente #241 (Lince),cliente,Lince,media,-12.102819,-77.05071,4,2
242,Intersec. Av. Caminos del Inca (Lince),interseccion,Lince,media,-12.070548,-77.036966,0,0
243,Cliente #243 (Barranco),cliente,Barranco,alta,-12.166909,-77.022176,3,2
244,Cliente #244 (San Miguel),cliente,San Miguel,media,-12.059963,-77.083504,2,3
245,Intersec. Av. Javier Prado (Miraflores),interseccion,Miraflores,muy_alta,-12.140045,-77.010189,0,0
246,Intersec. Av. Benavides (Puente Piedra),interseccion,Puente Piedra,baja,-11.882976,-77.067242,0,0
247,Cliente #247 (Villa El Salvador),cliente,Villa El Salvador,baja,-12.199141,-76.925645,4,2
248,Intersec. Av. Arequipa (San Borja),interseccion,San Borja,alta,-12.106039,-77.014103,0,0
249,Cliente #249 (Lurin),cliente,Lurin,baja,-12.290785,-76.860503,4,2
250,Cliente #250 (Miraflores),cliente,Miraflores,muy_alta,-12.129464,-77.03876,2,1
251,Cliente #251 (Rimac),cliente,Rimac,baja,-12.042469,-77.03728,3,2
252,Intersec. Av. Benavides (Jesus Maria),interseccion,Jesus Maria,media,-12.077397,-77.05315,0,0
253,Intersec. Av. Brasil (Callao),interseccion,Callao,baja,-12.062735,-77.125665,0,0
254,Cliente #254 (Pachacamac),cliente,Pachacamac,baja,-12.22295,-76.863715,4,3
255,Intersec. Av. Angamos (Pueblo Libre),interseccion,Pueblo Libre,media,-12.059659,-77.06868,0,0
256,Intersec. Av. Universitaria (Carabayllo),interseccion,Carabayllo,baja,-11.865501,-77.04617,0,0
257,Intersec. Av. Aviacion (Magdalena),interseccion,Magdalena,media,-12.100687,-77.072464,0,0
258,Cliente #258 (Rimac),cliente,Rimac,baja,-12.026811,-77.011279,4,1
259,Intersec. Via Expresa (Rimac),interseccion,Rimac,baja,-12.050564,-77.015839,0,0
260,Intersec. Via Expresa (Carabayllo),interseccion,Carabayllo,baja,-11.889403,-77.050458,0,0
261,Intersec. Av. Larco (Barranco),interseccion,Barranco,alta,-12.15808,-77.010962,0,0
262,Hub Rappi San Miguel,hub_rappi,San Miguel,media,-12.061163,-77.086247,309,486
263,Intersec. Av. Santa Cruz (Miraflores),interseccion,Miraflores,muy_alta,-12.123162,-77.043009,0,0
264,Intersec. Via Expresa (San Isidro),interseccion,San Isidro,muy_alta,-12.119023,-77.025733,0,0
265,Cliente #265 (Comas),cliente,Comas,baja,-11.920937,-77.05231,4,3
266,Intersec. Av. Aviacion (Pueblo Libre),interseccion,Pueblo Libre,media,-12.053719,-77.046073,0,0
267,Cliente #267 (Lince),cliente,Lince,media,-12.066861,-77.034271,3,2
268,Intersec. Via Expresa (Villa El Salvador),interseccion,Villa El Salvador,baja,-12.229337,-76.923752,0,0
269,Cliente #269 (San Juan Lurig),cliente,San Juan Lurig,baja,-12.15541,-76.968465,3,2
270,Intersec. Av. Tomas Marsano (Chorrillos),interseccion,Chorrillos,media,-12.183642,-77.031029,0,0
271,Intersec. Av. 28 de Julio (Lince),interseccion,Lince,media,-12.068292,-77.032102,0,0
272,Intersec. Av. Santa Cruz (Carabayllo),interseccion,Carabayllo,baja,-11.859574,-77.02945,0,0
273,Intersec. Av. Salaverry (Villa Maria),interseccion,Villa Maria,baja,-12.160175,-76.946623,0,0
274,Intersec. Av. Brasil (La Molina),interseccion,La Molina,media,-12.101042,-76.939446,0,0
275,Cliente #275 (San Isidro),cliente,San Isidro,muy_alta,-12.083219,-77.022048,1,3
276,Intersec. Av. Petit Thouars (Barranco),interseccion,Barranco,alta,-12.142433,-77.013997,0,0
277,Intersec. Av. Colonial (San Borja),interseccion,San Borja,alta,-12.108002,-77.00278,0,0
278,Intersec. Av. La Marina (San Isidro),interseccion,San Isidro,muy_alta,-12.078186,-77.036692,0,0
279,Cliente #279 (Callao),cliente,Callao,baja,-12.056449,-77.113895,3,3
280,Cliente #280 (Jesus Maria),cliente,Jesus Maria,media,-12.07975,-77.052357,2,3
281,Cliente #281 (Chorrillos),cliente,Chorrillos,media,-12.171131,-77.029099,4,1
282,Cliente #282 (Lurin),cliente,Lurin,baja,-12.283589,-76.875733,5,1
