origen,destino,via,distancia_km,tiempo_min,costo_sol,congestion,demanda_zona
7,951,Av. La Encalada,0.7679,2.02,1.33,media,baja
7,812,Av. Primavera,0.7815,2.74,1.95,alta,baja
8,369,Av. Petit Thouars,0.1978,1.29,1.53,alta,alta
8,978,Av. Benavides,0.2715,2.21,1.12,alta,alta
8,1425,Av. Primavera,0.3648,3.33,1.3,alta,alta
8,1223,Av. Angamos,0.4575,2.98,1.98,baja,alta
8,153,Av. Colonial,0.5737,2.56,2.06,baja,alta
8,1409,Av. La Encalada,0.5974,3.21,1.29,baja,alta
9,670,Av. Benavides,0.5977,3.1,1.35,alta,media
9,505,Av. Larco,0.658,3.46,2.18,alta,media
9,665,Av. Tomas Marsano,0.6886,2.7,1.67,baja,media
9,240,Av. El Derby,0.9226,4.7,2.42,media,media
9,869,Av. Larco,0.9424,4.11,2.37,alta,media
9,1218,Av. Angamos,1.1002,4.23,2.61,alta,media
10,1487,Av. Salaverry,0.8676,3.61,1.53,baja,media
10,458,Via Expresa,0.922,4.34,2.1,media,media
10,1231,Av. Brasil,0.9457,4.42,1.66,baja,media
10,208,Av. 28 de Julio,1.0269,4.82,2.36,media,media
10,426,Av. Caminos del Inca,1.1374,4.29,2.22,media,media
10,729,Av. Tomas Marsano,1.3287,4.69,2.18,alta,media
11,574,Av. 28 de Julio,0.123,1.67,1.19,alta,baja
11,1349,Av. Tomas Marsano,0.3083,2.25,0.86,alta,baja
11,450,Av. Primavera,0.3338,2.57,1.18,baja,baja
11,454,Av. Santa Cruz,0.7355,3.0,2.36,baja,baja
11,809,Av. Angamos,0.7379,2.74,2.31,media,baja
11,758,Av. Tomas Marsano,0.8161,2.48,1.99,media,baja
12,282,Av. Caminos del Inca,0.2171,1.62,0.62,media,baja
12,84,Av. Benavides,0.4141,1.89,1.07,alta,baja
12,681,Av. Javier Prado,0.4896,2.68,1.85,baja,baja
12,598,Av. Universitaria,0.558,3.08,1.89,baja,baja
12,618,Av. Colonial,0.5677,2.66,1.46,media,baja
12,715,Av. Primavera,0.6109,2.81,1.5,alta,baja
13,91,Av. La Marina,0.3089,1.52,1.45,alta,baja
13,500,Av. Brasil,0.3811,1.34,1.53,baja,baja
13,737,Av. Benavides,0.3861,1.45,1.86,media,baja
13,361,Av. Santa Cruz,0.4806,2.61,2.05,alta,baja
13,16,Av. Salaverry,0.5629,2.14,1.93,alta,baja
13,1294,Av. Aviacion,0.622,2.18,1.95,media,baja
14,514,Av. Petit Thouars,0.1643,1.96,1.08,media,alta
14,295,Av. Caminos del Inca,0.5124,3.0,1.58,alta,alta
14,659,Av. Angamos,0.5647,3.31,2.08,alta,alta
14,946,Av. Salaverry,0.6915,2.87,1.17,baja,alta
14,1438,Av. Petit Thouars,0.8079,4.68,1.5,media,alta
14,536,Av. Larco,0.809,4.43,2.2,baja,alta
15,1497,Av. Arequipa,0.3321,2.98,1.75,alta,alta
15,46,Via Expresa,0.4947,2.81,1.08,media,alta
15,1008,Av. Arequipa,0.5121,3.51,1.25,baja,alta
15,1132,Av. La Encalada,0.5247,2.59,1.52,media,alta
15,23,Av. El Derby,0.6317,3.78,1.98,baja,alta
15,153,Av. Brasil,0.6572,3.8,2.2,alta,alta
16,1342,Av. Larco,0.1877,1.1,0.85,alta,baja
16,1294,Av. El Derby,0.2427,1.42,1.23,alta,baja
16,91,Av. Petit Thouars,0.2541,2.29,0.62,media,baja
16,652,Av. Tomas Marsano,0.4091,2.29,1.98,alta,baja
16,13,Av. Javier Prado,0.5629,2.75,1.77,media,baja
16,383,Av. Universitaria,0.5712,2.65,1.24,baja,baja
17,580,Av. Caminos del Inca,0.518,2.47,1.05,alta,baja
17,78,Av. El Derby,0.5821,2.13,1.38,alta,baja
17,472,Av. Javier Prado,0.6426,2.06,1.29,media,baja
17,135,Av. La Marina,1.1036,4.07,2.28,baja,baja
17,284,Av. Brasil,1.4923,3.99,3.23,alta,baja
17,377,Av. Brasil,1.6325,5.04,3.13,media,baja
18,3,Av. Caminos del Inca,0.2518,1.15,1.49,alta,media
18,165,Av. La Encalada,0.3173,2.67,0.69,baja,media
18,318,Av. Petit Thouars,0.389,1.89,1.83,baja,media
18,342,Av. El Derby,0.3896,2.01,1.88,baja,media
18,1267,Av. Colonial,0.4577,2.9,1.29,baja,media
18,756,Av. La Marina,0.5708,3.44,1.93,alta,media
19,1188,Av. Colonial,0.0433,1.27,0.63,media,media
19,637,Av. Tomas Marsano,0.1485,1.94,1.13,alta,media
19,148,Av. Petit Thouars,0.2046,1.63,1.28,baja,media
19,821,Av. Tomas Marsano,0.313,2.44,1.11,media,media
19,1110,Av. La Encalada,0.332,1.71,0.95,baja,media
19,497,Av. Tomas Marsano,0.3666,2.22,1.22,alta,media
20,40,Av. Universitaria,0.411,2.77,1.47,alta,baja
20,269,Av. Larco,0.4258,2.05,1.16,alta,baja
20,836,Av. La Marina,0.5568,3.21,1.05,media,baja
20,308,Av. Santa Cruz,0.7875,3.67,1.29,baja,baja
20,932,Av. Arequipa,0.8399,3.51,2.34,media,baja
20,658,Av. Javier Prado,0.9013,4.03,1.94,alta,baja
21,188,Av. Colonial,0.0982,1.14,1.27,alta,media
21,1170,Av. Petit Thouars,0.6499,2.47,1.77,media,media
21,28,Av. Colonial,0.9178,3.75,2.39,alta,media
21,1366,Av. Arequipa,1.2707,4.31,2.32,media,media
21,1278,Av. La Encalada,1.4038,5.99,2.37,alta,media
21,563,Av. Javier Prado,1.5589,5.3,2.66,media,media
22,1495,Av. La Marina,0.1906,2.41,0.8,media,baja
22,1165,Av. 28 de Julio,0.4167,2.63,1.67,baja,baja
22,492,Av. La Encalada,0.5534,2.44,1.57,baja,baja
22,1353,Av. Javier Prado,0.6515,2.38,1.5,media,baja
22,970,Av. Aviacion,0.7887,2.68,2.25,media,baja
22,697,Av. 28 de Julio,0.7909,3.06,1.87,baja,baja
23,1132,Av. Benavides,0.1694,1.4,1.13,baja,alta
23,43,Av. Aviacion,0.3776,2.46,0.89,alta,alta
23,100,Av. 28 de Julio,0.4,2.67,1.85,alta,alta
23,1328,Via Expresa,0.6162,4.44,1.96,alta,alta
23,15,Av. Angamos,0.6317,3.41,1.25,media,alta
23,1008,Av. Caminos del Inca,0.6721,3.94,2.13,baja,alta
24,258,Av. El Derby,0.089,1.18,1.28,baja,baja
24,1392,Av. Brasil,0.1995,1.85,0.81,baja,baja
24,101,Av. Petit Thouars,0.5195,2.49,1.6,alta,baja
24,1224,Av. Primavera,0.5464,1.91,1.44,alta,baja
24,1187,Av. 28 de Julio,0.589,2.76,1.35,alta,baja
24,827,Av. Caminos del Inca,0.7164,2.41,1.37,alta,baja
25,1209,Av. Salaverry,0.9534,2.89,2.48,media,media
25,1239,Av. Tomas Marsano,1.1738,5.11,2.3,media,media
25,1416,Av. Caminos del Inca,1.8291,6.82,3.6,alta,media
25,167,Av. Larco,1.845,6.95,2.99,baja,media
25,1366,Av. Angamos,1.8658,6.18,3.0,baja,media
25,582,Av. Angamos,1.8986,7.82,3.38,media,media
26,993,Av. Santa Cruz,0.0952,1.89,1.58,alta,media
26,1212,Av. Larco,0.2863,1.63,0.66,baja,media
26,1122,Av. La Encalada,0.36,2.53,1.08,alta,media
26,1075,Via Expresa,0.4872,2.92,1.27,media,media
26,324,Av. Angamos,0.4877,2.48,1.4,media,media
26,49,Av. Aviacion,0.6504,3.34,1.26,media,media
27,833,Av. 28 de Julio,0.2391,2.24,1.56,media,alta
27,87,Av. Arequipa,0.4534,2.89,1.83,baja,alta
27,245,Av. Caminos del Inca,0.5426,3.4,1.26,baja,alta
27,352,Av. Aviacion,0.5633,3.31,2.14,media,alta
27,983,Av. 28 de Julio,0.5727,3.73,2.16,alta,alta
27,77,Av. Universitaria,0.6023,4.04,1.46,alta,alta
28,563,Av. La Encalada,0.7816,2.72,2.11,alta,media
28,188,Av. Javier Prado,0.8856,3.12,2.14,media,media
28,21,Av. La Marina,0.9178,3.61,1.85,media,media
28,117,Av. Caminos del Inca,1.1197,4.26,2.35,media,media
28,1366,Av. La Encalada,1.1709,4.65,1.72,media,media
28,1368,Av. Javier Prado,1.1822,4.62,2.09,media,media
29,1173,Av. 28 de Julio,0.3571,1.66,1.8,baja,media
29,435,Av. Tomas Marsano,0.3815,2.11,1.06,baja,media
29,918,Av. Salaverry,0.4527,2.17,1.66,media,media
29,629,Av. Colonial,0.4893,2.12,1.28,baja,media
29,1159,Av. El Derby,0.5434,2.68,2.05,alta,media
29,1147,Av. La Encalada,0.6879,2.5,2.14,media,media
30,1442,Av. El Derby,0.3442,1.3,1.59,alta,baja
30,705,Av. La Marina,0.5257,2.73,0.93,media,baja
30,152,Av. Universitaria,0.5688,1.9,1.03,alta,baja
30,1175,Av. Brasil,0.7924,3.13,1.37,media,baja
30,914,Av. Petit Thouars,0.8007,2.98,1.5,alta,baja
30,724,Av. Universitaria,0.8455,2.67,1.38,media,baja
31,934,Av. Universitaria,0.199,1.64,1.47,media,baja
31,936,Av. El Derby,0.2346,1.21,0.68,media,baja
31,532,Av. Aviacion,0.2449,1.41,1.7,media,baja
31,1303,Av. Aviacion,0.5459,2.17,1.91,baja,baja
31,33,Av. Salaverry,0.567,2.48,1.83,media,baja
31,0,Av. Larco,0.6064,2.74,1.49,alta,baja
32,312,Av. Brasil,0.2953,1.62,1.15,alta,baja
32,399,Av. Salaverry,0.3632,2.65,1.04,media,baja
32,860,Av. Primavera,0.4334,2.6,1.95,baja,baja
32,134,Av. Arequipa,0.4389,2.08,1.17,alta,baja
32,1022,Av. Angamos,0.4409,2.26,1.4,alta,baja
32,1171,Av. Tomas Marsano,0.4851,2.46,1.86,media,baja
33,1051,Av. Larco,0.0727,1.32,0.78,alta,baja
33,0,Av. Javier Prado,0.1273,1.85,0.66,alta,baja
33,52,Av. Benavides,0.1745,1.95,1.41,baja,baja
33,940,Av. Arequipa,0.4899,2.64,1.47,alta,baja
33,31,Av. Petit Thouars,0.567,3.05,2.11,alta,baja
33,374,Av. Tomas Marsano,0.5998,3.06,2.03,media,baja
34,447,Av. Tomas Marsano,0.2526,2.37,0.98,alta,baja
34,7,Av. Larco,0.3984,1.51,1.21,baja,baja
34,182,Av. 28 de Julio,0.4914,2.69,1.17,media,baja
34,1225,Av. Benavides,0.7041,3.3,2.13,media,baja
34,1116,Av. 28 de Julio,0.7287,3.24,1.64,baja,baja
34,1493,Av. Benavides,0.9888,3.3,2.48,alta,baja
35,579,Av. La Encalada,0.4882,1.64,1.11,media,baja
35,409,Av. Salaverry,0.6448,2.7,1.76,baja,baja
35,968,Av. Salaverry,0.8019,3.79,1.61,alta,baja
35,569,Av. Caminos del Inca,0.8146,3.82,1.38,media,baja
35,172,Av. Larco,0.8919,3.12,1.39,alta,baja
35,320,Av. Arequipa,0.8992,3.13,1.53,media,baja
36,287,Av. Primavera,0.1361,1.44,0.83,alta,media
36,1047,Av. Aviacion,0.4311,3.16,1.01,media,media
36,1019,Av. Caminos del Inca,0.4452,2.97,1.07,baja,media
36,1410,Av. Universitaria,0.4572,2.46,1.37,alta,media
36,1413,Av. Primavera,0.4926,3.4,1.83,media,media
36,1356,Av. Aviacion,0.5379,2.04,1.58,baja,media
37,1146,Av. 28 de Julio,0.0753,1.15,0.75,media,media
37,571,Av. El Derby,0.2545,2.74,0.66,baja,media
37,1383,Av. Santa Cruz,0.3291,1.81,0.74,alta,media
37,730,Av. La Encalada,0.3299,2.13,1.15,baja,media
37,170,Av. Salaverry,0.33,1.5,1.75,media,media
37,392,Av. Larco,0.5321,2.15,2.06,media,media
38,822,Av. La Marina,0.4161,1.48,1.96,alta,baja
38,506,Av. Tomas Marsano,0.5489,2.63,1.75,baja,baja
38,423,Av. La Encalada,0.6195,1.89,1.23,media,baja
38,302,Av. Aviacion,0.6591,3.05,1.36,alta,baja
38,1401,Av. El Derby,0.6934,2.64,2.12,baja,baja
38,662,Av. Arequipa,0.7224,2.64,1.46,baja,baja
39,502,Av. Larco,0.2949,2.43,1.32,baja,muy_alta
39,186,Av. Colonial,0.3419,2.26,0.83,baja,muy_alta
39,1206,Av. 28 de Julio,0.5019,3.05,1.94,media,muy_alta
39,385,Av. Arequipa,0.5049,4.56,2.03,alta,muy_alta
39,677,Av. Benavides,0.5346,4.47,1.79,alta,muy_alta
39,947,Av. Angamos,0.5894,3.79,1.03,media,muy_alta
40,269,Av. Tomas Marsano,0.1288,0.97,1.59,alta,baja
40,20,Av. Universitaria,0.411,2.71,1.93,alta,baja
40,836,Av. La Marina,0.4222,2.66,1.92,baja,baja
40,308,Av. La Encalada,0.6226,2.65,1.09,media,baja
40,439,Av. Universitaria,0.7645,2.93,2.02,media,baja
40,704,Av. El Derby,0.8484,2.37,1.67,media,baja
41,1183,Av. El Derby,0.3666,2.43,0.74,baja,baja
41,423,Av. Caminos del Inca,0.801,2.86,1.8,baja,baja
41,945,Av. Universitaria,0.9769,3.45,2.61,media,baja
41,1401,Av. Javier Prado,0.9889,3.79,2.03,alta,baja
41,302,Av. Aviacion,1.0079,3.57,2.5,media,baja
41,822,Av. Santa Cruz,1.0627,3.43,2.51,alta,baja
42,744,Av. Larco,0.0398,0.96,1.17,media,media
42,710,Av. Salaverry,0.5746,3.46,1.94,media,media
42,739,Via Expresa,0.5877,3.09,1.24,baja,media
42,283,Av. Salaverry,0.625,2.62,1.69,media,media
42,381,Av. Javier Prado,0.6613,3.58,2.27,alta,media
42,720,Av. Javier Prado,0.6895,3.23,1.31,baja,media
43,100,Av. Javier Prado,0.1856,1.38,1.4,baja,alta
43,23,Av. Brasil,0.3776,2.59,1.83,baja,alta
43,1132,Av. Colonial,0.5452,3.27,1.99,media,alta
43,805,Av. Larco,0.7087,4.15,2.0,media,alta
43,46,Av. Petit Thouars,0.7245,4.37,1.51,media,alta
43,833,Av. La Marina,0.7595,4.62,1.36,media,alta
44,1196,Av. Santa Cruz,0.3187,3.71,0.76,media,muy_alta
44,635,Av. Petit Thouars,0.6322,4.56,2.1,alta,muy_alta
44,277,Av. Caminos del Inca,0.6793,4.93,2.25,baja,muy_alta
44,309,Av. Aviacion,0.6903,3.59,1.51,baja,muy_alta
44,1242,Av. Javier Prado,0.727,5.85,1.35,alta,muy_alta
44,1306,Av. Caminos del Inca,0.7933,5.73,1.89,baja,muy_alta
45,772,Av. Larco,0.2831,1.91,1.61,alta,muy_alta
45,981,Av. Aviacion,0.3448,3.53,1.02,baja,muy_alta
45,719,Av. Colonial,0.3453,2.47,1.58,baja,muy_alta
45,264,Av. Colonial,0.4822,3.97,1.14,media,muy_alta
45,304,Av. Primavera,0.5145,3.82,1.94,alta,muy_alta
45,603,Av. El Derby,0.5207,4.73,1.11,baja,muy_alta
46,153,Av. 28 de Julio,0.2912,1.89,0.83,media,alta
46,15,Av. Aviacion,0.4947,3.35,0.9,baja,alta
46,1073,Av. El Derby,0.662,2.83,2.18,baja,alta
46,23,Via Expresa,0.6802,3.94,1.21,media,alta
46,903,Av. 28 de Julio,0.6819,4.44,1.51,alta,alta
46,1132,Av. Arequipa,0.6974,3.84,1.92,alta,alta
47,1417,Via Expresa,0.2611,1.43,0.84,alta,alta
47,1364,Av. 28 de Julio,0.4203,2.41,1.99,media,alta
47,1090,Av. Primavera,0.7189,4.04,1.27,media,alta
47,734,Av. Universitaria,0.8705,3.81,2.16,baja,alta
47,291,Av. Primavera,0.8837,3.84,1.39,media,alta
47,1179,Av. Brasil,0.9109,5.68,2.41,alta,alta
48,189,Av. Aviacion,0.2668,1.69,1.62,alta,baja
48,361,Av. Colonial,0.6375,2.48,1.27,baja,baja
48,532,Av. 28 de Julio,0.6562,2.43,2.21,media,baja
48,936,Av. Universitaria,0.6604,2.78,1.36,media,baja
48,1496,Via Expresa,0.6837,2.31,2.24,media,baja
48,156,Av. Arequipa,0.6966,3.03,1.62,media,baja
49,1212,Av. Benavides,0.4782,2.89,1.47,alta,media
49,120,Av. 28 de Julio,0.5292,3.01,1.57,baja,media
49,122,Av. Primavera,0.6082,2.76,1.72,alta,media
49,1253,Av. Salaverry,0.61,3.62,1.31,baja,media
49,700,Av. Arequipa,0.619,2.33,1.13,media,media
49,26,Av. Santa Cruz,0.6504,3.29,2.04,media,media
50,261,Via Expresa,0.1657,1.81,0.99,alta,alta
50,1086,Av. La Marina,0.2154,1.72,1.27,media,alta
50,1200,Av. Benavides,0.282,2.87,0.84,alta,alta
50,901,Av. Brasil,0.2913,2.19,1.02,alta,alta
50,616,Av. Caminos del Inca,0.3533,3.06,1.25,alta,alta
50,589,Av. La Marina,0.5041,2.87,1.79,alta,alta
51,364,Av. Salaverry,0.3912,2.62,1.88,baja,alta
51,801,Av. La Encalada,0.406,2.64,1.62,media,alta
51,433,Av. Tomas Marsano,0.4963,3.58,1.72,baja,alta
51,685,Av. Salaverry,0.5178,2.93,1.5,baja,alta
51,616,Av. Aviacion,0.5635,3.4,1.55,media,alta
51,220,Av. Universitaria,0.5939,3.47,1.02,baja,alta
52,1051,Av. Benavides,0.113,1.27,1.0,media,baja
52,0,Av. Salaverry,0.15,1.42,0.63,baja,baja
52,33,Av. Javier Prado,0.1745,0.87,1.31,media,baja
52,940,Av. Angamos,0.3751,2.7,1.2,baja,baja
52,1131,Av. Arequipa,0.5534,1.75,1.18,media,baja
52,374,Av. Petit Thouars,0.6235,2.07,1.73,media,baja
53,948,Via Expresa,0.0799,0.81,1.07,alta,media
53,931,Av. Angamos,0.4911,2.92,1.73,media,media
53,1038,Av. Javier Prado,0.5434,3.04,1.52,baja,media
53,1111,Av. 28 de Julio,0.5489,2.49,1.09,media,media
53,511,Av. La Encalada,0.6102,2.47,2.03,alta,media
53,393,Av. La Encalada,0.7628,3.29,1.51,baja,media
54,1297,Av. La Encalada,0.3426,2.26,0.98,baja,baja
54,932,Av. Brasil,0.3731,1.55,1.19,baja,baja
54,308,Av. Brasil,0.4486,2.71,1.69,baja,baja
54,836,Av. Petit Thouars,0.6403,2.59,1.17,baja,baja
54,439,Av. 28 de Julio,0.6414,3.4,2.11,media,baja
54,891,Av. Angamos,0.7841,2.29,1.94,baja,baja
55,1371,Av. Javier Prado,0.1413,1.13,0.95,alta,baja
55,1056,Av. Angamos,0.2786,2.53,1.32,alta,baja
55,173,Av. Javier Prado,1.0762,3.09,2.36,media,baja
55,1041,Av. Petit Thouars,1.1461,3.76,2.06,media,baja
55,946,Av. Benavides,1.1582,4.1,2.61,alta,baja
55,1241,Av. Angamos,1.1758,4.09,2.01,alta,baja
56,272,Av. El Derby,0.7204,2.57,2.31,media,baja
56,1259,Av. Primavera,1.2686,4.52,2.75,alta,baja
56,80,Av. Salaverry,1.4055,4.46,2.59,baja,baja
56,1250,Av. Tomas Marsano,1.7271,4.75,2.65,media,baja
56,1402,Av. Colonial,1.8115,5.48,3.57,baja,baja
56,113,Av. Caminos del Inca,1.8249,4.26,2.66,alta,baja
57,672,Av. Santa Cruz,0.5254,2.1,1.21,media,baja
57,1109,Av. Santa Cruz,0.6564,2.98,1.91,baja,baja
57,1121,Av. Tomas Marsano,0.6816,3.09,1.34,media,baja
57,1006,Av. Javier Prado,0.7715,3.73,1.53,alta,baja
57,315,Av. La Encalada,0.891,3.85,2.0,media,baja
57,139,Av. La Marina,0.979,2.71,1.8,baja,baja
58,509,Av. Arequipa,0.204,1.98,0.78,baja,baja
58,547,Av. Larco,0.2837,1.84,0.78,alta,baja
58,1003,Av. Javier Prado,0.3634,2.18,1.32,baja,baja
58,249,Av. Petit Thouars,0.6694,2.28,1.56,media,baja
58,928,Av. Aviacion,0.6981,3.05,1.3,alta,baja
58,334,Av. Petit Thouars,0.7329,2.42,1.53,alta,baja
59,551,Av. Larco,0.4012,1.74,1.16,alta,baja
59,1126,Av. Primavera,0.5554,2.9,1.43,media,baja
59,322,Av. Arequipa,0.5591,2.99,2.0,media,baja
59,194,Av. Caminos del Inca,0.6254,2.63,1.58,alta,baja
59,524,Av. Larco,0.7323,2.26,1.88,media,baja
59,962,Av. Universitaria,1.2958,3.13,2.82,alta,baja
60,1440,Av. 28 de Julio,0.139,1.09,1.15,alta,media
60,1046,Av. La Encalada,0.4495,2.2,1.98,media,media
60,1394,Av. Arequipa,0.4864,2.85,1.83,media,media
60,604,Av. Arequipa,0.5052,2.13,2.08,media,media
60,585,Via Expresa,0.588,3.49,1.07,baja,media
60,123,Av. Benavides,0.624,2.86,1.69,media,media
61,720,Av. El Derby,0.3471,2.6,1.72,baja,baja
61,811,Av. Angamos,0.4458,2.0,1.72,media,baja
61,513,Av. Salaverry,0.4837,1.8,1.58,media,baja
61,733,Av. Brasil,0.53,2.66,1.0,media,baja
61,283,Av. Brasil,0.5509,2.7,1.23,alta,baja
61,391,Av. Caminos del Inca,0.6214,2.09,2.09,media,baja
62,815,Av. Universitaria,0.1842,2.2,1.51,media,media
62,654,Av. Universitaria,0.2311,2.28,1.67,alta,media
62,1198,Av. 28 de Julio,0.2851,1.77,0.82,alta,media
62,722,Av. Javier Prado,0.4071,2.16,0.85,baja,media
62,394,Av. Universitaria,0.4724,3.05,0.97,baja,media
62,1108,Av. La Encalada,0.477,2.69,0.98,alta,media
63,1279,Av. Arequipa,0.2609,1.24,0.87,media,media
63,1046,Av. Primavera,0.3928,2.64,1.45,alta,media
63,446,Av. Aviacion,0.4437,2.76,1.11,baja,media
63,1391,Av. Petit Thouars,0.452,2.69,1.26,baja,media
63,1413,Av. Arequipa,0.5308,3.0,1.08,alta,media
63,1029,Av. Primavera,0.5721,2.46,1.14,baja,media
64,731,Av. Benavides,0.2235,2.02,1.53,baja,baja
64,758,Av. 28 de Julio,0.32,1.73,0.78,alta,baja
64,574,Av. La Marina,1.0023,3.89,1.71,media,baja
64,11,Av. Angamos,1.1244,3.51,2.51,alta,baja
64,450,Av. Salaverry,1.2455,3.6,2.39,media,baja
64,1349,Av. Primavera,1.3504,4.13,2.15,alta,baja
65,726,Av. La Marina,0.2717,1.27,1.53,baja,media
65,414,Av. Benavides,0.288,2.43,0.76,baja,media
65,1434,Av. La Marina,0.3373,1.75,1.45,media,media
65,1308,Av. Larco,0.3423,2.05,1.47,baja,media
65,1381,Av. Santa Cruz,0.402,3.1,1.78,alta,media
65,1358,Av. Universitaria,0.4167,2.32,0.85,alta,media
66,1489,Av. La Encalada,0.0346,0.86,0.9,alta,media
66,1289,Av. Aviacion,0.1515,1.35,0.81,media,media
66,211,Av. Arequipa,0.2258,1.96,0.98,media,media
66,1075,Av. Javier Prado,0.3196,2.75,1.77,baja,media
66,324,Av. Aviacion,0.3618,2.36,1.03,alta,media
66,1133,Av. Colonial,0.4265,2.8,1.44,alta,media
67,253,Av. Aviacion,0.3305,2.24,0.85,media,baja
67,1374,Av. Universitaria,0.6457,3.27,1.96,media,baja
67,649,Via Expresa,0.7259,2.05,1.69,baja,baja
67,721,Av. Larco,0.7457,3.56,1.94,baja,baja
67,126,Av. Santa Cruz,0.7909,3.23,2.05,alta,baja
67,619,Av. Petit Thouars,0.9133,3.72,2.49,alta,baja
68,1129,Av. Primavera,0.1393,1.23,1.25,media,alta
68,352,Av. Arequipa,0.3244,1.59,1.18,media,alta
68,77,Av. Larco,0.3257,2.06,0.99,baja,alta
68,245,Av. Aviacion,0.3501,2.19,1.33,alta,alta
68,276,Av. La Encalada,0.3507,1.85,1.38,baja,alta
68,983,Av. Benavides,0.3837,3.46,1.23,baja,alta
69,1431,Av. Arequipa,0.3249,1.97,1.06,baja,media
69,592,Av. 28 de Julio,0.3461,2.77,0.98,baja,media
69,1458,Av. La Marina,0.4212,2.09,0.86,alta,media
69,428,Av. Javier Prado,0.4879,2.54,1.38,baja,media
69,778,Av. Aviacion,0.5019,2.65,0.93,media,media
69,1026,Av. Arequipa,0.5058,2.46,1.05,alta,media
70,1214,Av. Arequipa,0.3972,2.09,1.42,baja,media
70,1036,Av. La Encalada,0.4093,2.2,1.14,alta,media
70,1341,Av. Colonial,0.469,2.89,1.63,baja,media
70,1108,Av. Arequipa,0.477,2.81,1.92,baja,media
70,97,Av. La Encalada,0.4926,2.56,2.09,alta,media
70,444,Av. Primavera,0.4953,3.02,2.04,alta,media
71,939,Av. Javier Prado,0.2361,2.16,1.37,baja,baja
71,624,Av. Brasil,0.4005,1.66,1.39,baja,baja
71,1167,Av. Universitaria,0.4278,2.01,1.99,media,baja
71,696,Via Expresa,0.5111,2.53,1.92,media,baja
71,1072,Av. El Derby,0.6354,1.92,1.77,alta,baja
71,687,Av. Tomas Marsano,0.7381,2.31,1.9,alta,baja
72,664,Av. Angamos,0.3385,2.28,1.53,baja,media
72,402,Av. La Marina,0.4357,2.28,1.49,baja,media
72,878,Av. La Marina,0.4407,2.42,1.77,alta,media
72,489,Av. Angamos,0.4422,2.73,1.66,media,media
72,1091,Av. Javier Prado,0.4493,3.05,1.15,baja,media
72,796,Av. Universitaria,0.4537,2.64,1.96,baja,media
